CATÉGORIE D'ÉVÉNEMENT	GROUPE D'ÉVÉNEMENT	SOUS-GROUPE D'ÉVÉNEMENT	TYPE D'ÉVÉNEMENT	ENDROIT	DATE DU DÉBUT DE L'ÉVÉNEMENT	COMMENTAIRES	VICTIMES	BLESSÉS / INFECTÉS	ÉVACUÉS	COÛT TOTAL ESTIMÉ	COÛT TOTAL NORMALIZE	DATE DE FIN DE L'ÉVÉNEMENT	PAIEMENTS FÉDÉRAUX DES AAFCC	PAIEMENTS PROVINCIAUX DES AAFCC	PAIEMENTS DES DÉPARTEMENTS PROVINCIAUX	COÛTS MUNICIPAUX	COÛTS D'AMG	PAIEMENTS D'ASSURANCE	PAIEMENTS D'O.N.G.	SERVICES PUBLICS - PERSONNES AFFECTÉES	MAGNITUDE	
Désastre	Naturel	Météorologique - hydrologique	Tempête-non précisée/autre	Christmas Island (N.-É.)	25/12/2016 12:00:00 AM	Île Christmas (N.-É.), 25 décembre 2016. Les résidents de l’île Christmas ont été laissés sans courant le matin de Noël en raison d’une violente tempête de vent qui s’est abattue tôt le matin. Vingt-et-une pannes d’électricité ont été signalées dans la région, touchant 3 346 clients (environ 10 038 personnes). Des pannes d’électricité ont été signalées dès 5 h le matin, et d’autres pannes se sont produites périodiquement tout au long de la journée. Les régions touchées par les pannes d’électricité comprenaient Beaver Cove, Barrachois, French Vale, Bramber, Digby, Port Hawkesbury, Lower Sackville, East River et Mill Cove. Des avertissements de vent étaient en vigueur pour la ville de Sydney et le comté de Cap-Breton. Les vents violents ont produit de la pluie, ce qui a entraîné quelques inondations localisées. Les débris laissés par le vent accompagné de pluie ont créé de mauvaises conditions de conduite dans l’ensemble de la province. L’alimentation électrique est retournée à la normale presque partout plus tard dans la soirée.				0.0000	0.0	25/12/2016 12:00:00 AM								10038		
Désastre	Naturel	Météorologique - hydrologique	Tempête hivernale	Nouvelle-Écosse et Île-du-Prince-Édouard	27/11/2016 12:00:00 AM	Nouvelle-Écosse et Île-du-Prince-Édouard, du 27 au 29 novembre 2016. Une tempête hivernale précoce a frappé les provinces maritimes, touchant la Nouvelle-Écosse et l’Île-du-Prince-Édouard le 27 novembre. La tempête a déversé 15 cm de neige sur la partie continentale de la Nouvelle-Écosse et produit des vents violents au Cap-Breton. Un mélange de conditions météorologiques désordonnées composées de pluie verglaçante, de glace et de neige a créé des conditions de conduite dangereuses. En Nouvelle-Écosse, la levée de Canso a été fermée aux véhicules à profil élevé et certaines sections de l’autoroute 104 ont été fermées en raison de la mauvaise visibilité. Un camion de transport s’est retourné sur le pont de Seal Island au Cap-Breton en raison de fortes rafales de vent pouvant atteindre 110 km/h. En Nouvelle-Écosse, 11 200 clients (environ 33 600 personnes) ont manqué d’électricité, tandis qu’à l’Île-du-Prince-Édouard, 12 000 clients (environ 36 000 personnes) ont été laissés sans courant. À l’Île-du-Prince-Édouard, certains résidents ont été sans électricité jusqu’au 29 novembre.				0.0000	0.0	29/11/2016 12:00:00 AM								69000		
Désastre	Naturel	Météorologique - hydrologique	Inondation	Première nation de Red Earth (SK)	14/11/2016 12:00:00 AM	Première Nation Red Earth (SK), 14 au 18 juillet 2016. De fortes pluies ont entraîné l’inondation de la rivière Carrot dans le nord de la Saskatchewan. La collectivité de la Nation crie Red Earth, située à 75 kilomètres à l’est de Nipawin, a déclaré un état d’urgence et a été obligée d’évacuer 576 résidents. La majorité des personnes évacuées se sont installées à Saskatoon, au Centre de soccer Henk Ruy, tandis que les autres sont allées dans des hôtels ou chez des membres de la famille. Les collectivités de la rivière Carrot et les municipalités rurales de Moose Range et d’Arborfield ont aussi déclaré des états d’urgence, mais ont été moins touchées par l’inondation.			576	0.0000	0.0	18/11/2016 12:00:00 AM										
Désastre	Naturel	Biologique	Épidémie	Alberta and Saskatchewan	26/10/2016 12:00:00 AM	Alberta et Saskatchewan, du 26 octobre au 21 décembre 2016. À la fin de septembre, le département de l’Agriculture des États-Unis a découvert un cas de tuberculose bovine chez une vache de l’Alberta. Le département de l’Agriculture des États-Unis a alors communiqué avec l’Agence canadienne d’inspection des aliments (ACIA), qui a lancé une enquête sur l’éclosion. L’enquête a révélé qu’un troupeau de bovins en Alberta était atteint de tuberculose. Le troupeau de bovins infectés est situé sur 18 propriétés distinctes. Six cas de tuberculose ont été confirmés au sein du troupeau infecté, y compris la vache qui a été abattue aux États-Unis. En raison de l’infection, environ 26 000 bovins ont été mis en quarantaine dans près de 50 propriétés différentes en Alberta et en Saskatchewan. À titre de précaution, environ 10 000 bovins ont été détruits afin d’arrêter la propagation de l’infection. L’infection a eu des conséquences importantes pour les agricultures de l’Alberta et de la Saskatchewan. Le gouvernement fédéral du Canada a offert de payer jusqu’à 16,7 millions de dollars aux éleveurs qui avaient subi des pertes agricoles en raison de l’éclosion de tuberculose.				16700000.0000	780373.8	21/12/2016 12:00:00 AM	16700000.0000									
Incident	Technologie	Produits chimiques dangereux	Fuite / dégagement de flaque	Seaforth Channel (C.-B.)	13/10/2016 12:00:00 AM	Passage Seaforth (C.-B.), 13 octobre 2016. Le remorqueur-chaland articulé, Nathan E. Stewart, s’est échoué à proximité de Bella Bella dans le passage Seaforth. Le remorqueur, qui contenait 215 000 litres de diesel, a commencé à prendre l’eau, ce qui a amené le chaland à se détacher du remorqueur. Une brèche s’est ouverte dans deux des réservoirs de carburant du remorqueur, ce qui a entraîné la fuite de carburant dans les eaux au large de la côte de la forêt pluviale du Grand Ours. Le chaland et le remorqueur, qui appartenaient à l’entreprise américaine Kirby Offshore Marine, se déplaçaient vers le sud en provenance de l’Alaska. Le 14 octobre, deux sorties aériennes ont confirmé que les irisations s’étaient étendues tout le long du passage Gale. Les efforts de protection et de confinement ont consisté en des barrières flottantes absorbantes qui ont été déployées autour du remorqueur endommagé et une estacade flottante le long du passage Gale, qui comprenait l’application d’absorbants pétroliers. Une équipe de plongeurs a réparé des sections des réservoirs de carburant percés afin de réduire la fuite pendant que des travailleurs tentaient de pomper le reste du carburant à l’intérieur des réservoirs. Le mauvais temps a nui aux efforts de nettoyage et de récupération. Il a fallu attendre le 15 novembre pour que le remorqueur soit finalement retiré de l’eau et transporté à terre sur un chaland de sauvetage. Il est estimé que 108 000 litres de carburant et 2 240 litres de lubrifiant ont été déversés. La Première Nation Heiltsuk a été la plus durement touchée par la fuite; elle a dû fermer les pêches de palourdes locales en raison de préoccupations environnementales.				0.0000	0.0	13/10/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Tempête-non précisée/autre	Côte Sud et Lower Mainland Colombie Britannique	12/10/2016 12:00:00 AM	Portion sud de la côte et basses-terres continentales de la Colombie-Britannique, du 12 au 16 octobre 2016. Les restants du super typhon Songda ont frappé la partie sud de la côte de la Colombie-Britannique avec un trio de tempêtes automnales. La première tempête s’est produite le 12 octobre et a malmené la côte avec de fortes pluies avant de se déplacer au-dessus des basses-terres continentales tôt le lendemain. La tempête a déversé de 80 à 100 mm de pluie sur la baie de Howe et le district régional du Grand Vancouver. À North Vancouver, la forte pluie est tombée avec suffisamment de force pour faire tomber un arbre, qui a endommagé la maison et le véhicule d’un résident. Les deuxième et troisième tempêtes sont arrivées les 14 et 15 octobre, ce qui a entraîné un vent plus fort et de fortes pluies dans la région. Un avertissement de vent a été donné pour la région de Victoria, où des rafales de vent ont atteint jusqu’à 90 km/h. Des vents puissants ont fait tomber des arbres et des lignes électriques, laissant 75 000 clients de la B.C. Hydro (environ 225 000 personnes) sans courant à l’échelle de l’île de Vancouver et des basses-terres continentales. Un arbre tombé a frappé un camion et tué un jeune de 15 ans à proximité de Clayton Heights. En tout, au cours des trois tempêtes, 250 arbres sont tombés à Vancouver et 202 mm de pluie se sont accumulés à North Vancouver.	1			0.0000	0.0	16/10/2016 12:00:00 AM								225000		
Désastre	Naturel	Météorologique - hydrologique	Inondation	Nouvelle-Écosse, Île-du-Prince-Édouard et Terre-Neuve	09/10/2016 12:00:00 AM	Nouvelle-Écosse, Nouveau-Brunswick et Terre-Neuve, 9-13 octobre 2016. Le Canada atlantique a été frappé par de fortes pluies en raison des restants de l’ouragan Matthew. Un avertissement de vent et de fortes pluies était en vigueur les 10 et 11 octobre pour le nord-est de la Nouvelle-Écosse et Terre-Neuve. Le 10 octobre, 150 mm de pluie sont tombés sur Terre-Neuve. La municipalité de Burgeo à elle seule a reçu 120 mm de pluie, ce qui a causé la fermeture de l’autoroute 480. St. Alban’s a déclaré un état d’urgence en raison de diverses fermetures de routes, y compris le pont de Swanger’s Cove sur la route 361, qui a été signalé comme ayant été endommagé et a été jugé inutilisable par le bureau régional de la sécurité publique de Terre-Neuve. Les fermetures de routes à St. Alban’s ont entraîné l’isolation de nombreuses maisons. En Nouvelle-Écosse, on a signalé plus de 220 mm de pluie à l’échelle de la province. L’aéroport J.A. Douglas McCurdy de Sydney a été obligé de fermer toutes ses pistes. Cap-Breton a été durement frappé par de fortes pluies, ce qui a causé des dommages matériels à environ 300 maisons. La Première Nation Eskasoni a été la plus gravement touchée, avec 100 maisons inondées et un nombre indéterminé de personnes évacuées en raison des niveaux d’eau élevés. Le 11 octobre, 16 états d’urgence étaient déclarés à Terre-Neuve, où Bager et Gander ont reçu 131 mm et 124 mm de pluie respectivement. Bien qu’aucun état d’urgence n’était déclaré en Nouvelle-Écosse, Nova Scotia Power a indiqué qu’environ 130 000 clients (390 000 personnes) avaient dû composer avec des pannes d’électricité. L’Île-du-Prince-Édouard a reçu 73 mm de pluie, ce qui signifiait que la province n’était pas touchée de façon aussi importante par l’orage; toutefois, environ 600 résidents ont été laissés sans courant. Les traversiers en Nouvelle-Écosse et à Terre-Neuve ont été fermés en raison de vagues de huit mètres de haut causées par l’orage. Les Forces armées canadiennes ont participé aux efforts d’érection de murs de sable puisque les niveaux d’eau ont continué de monter jusqu’au 12 octobre. Ce n’est que le 13 octobre que les niveaux d’eau ont commencé à baisser dans certaines régions; toutefois, à Terre-Neuve-et-Labrador, les niveaux d’eau sont demeurés à un niveau d’élévation record partout dans la province. L’alimentation électrique a été rétablie pour les clients en Nouvelle-Écosse et à l’Île-du-Prince-Édouard le 13 octobre.				30350000.0000	1418224.3	13/10/2016 12:00:00 AM	30350000.0000							390600		
Désastre	Naturel	Météorologique - hydrologique	Tempête-non précisée/autre	Côte Sud et Lower Mainland Colombie Britannique	06/10/2016 12:00:00 AM	Portion sud de la côte et basses-terres continentales de la Colombie-Britannique, du 6 au 8 octobre 2016. De fortes rafales de vent atteignant 117 km/h se sont abattues sur l’est de l’île de Vancouver, la Sunshine Coast et les basses-terres continentales. Le 6 octobre, on a enregistré des rafales de vent de 56 km/h à Vancouver, de 36 km/h à Victoria et de 117 km/h aux îles Sisters et Trail. Des vents violents ont fait tomber des arbres et des lignes électriques, ce qui a coupé l’alimentation électrique de 100 000 clients de B.C. Hydro (environ 300 000 personnes). Dans l’est de l’île Victoria, 29 000 personnes ont manqué d’électricité pendant la nuit. La région la plus durement touchée a été Courtenay, où 12 000 personnes ont été laissées sans courant. Au plus fort de la tempête, 45 000 personnes ont manqué d’électricité dans l’ensemble de la province. Le 8 octobre, 13 000 personnes manquaient toujours d’électricité et des vents violents continuaient de sévir dans certaines parties de la province.				0.0000	0.0	08/10/2016 12:00:00 AM								300000		
Désastre	Naturel	Météorologique - hydrologique	Inondation	Windsor and Tecumseh (ON)	29/09/2016 12:00:00 AM	Windsor et Tecumsech (ON), 29 septembre 2016. Les états d’urgence ont été déclarés à Windsor et Tecumsech après que la région eut été frappée par de violents orages qui ont produit d’importantes inondations. L’aéroport de Windsor a enregistré 78 mm de pluie sur une période de 24 heures, tandis qu’une autre jauge dans l’est de la ville a mesuré 106 mm. La ville de Tecumsech a reçu jusqu’à 190 mm de pluie. Dans les deux municipalités, les fortes pluies ont entraîné l’inondation de centaines de sous-sols. Des automobiles ont été abandonnées dans les rues inondées et de nombreuses routes ont été fermées.				0.0000	0.0	29/09/2016 12:00:00 AM										
Désastre	Naturel	Météorologique - hydrologique	Feu de forêt	West Kelowna (C.-B.)	21/08/2016 12:00:00 AM	West Kelowna (C.-B.), 21 au 25 août 2016. Un incendie irréprimé s’est déclaré dans la soirée du 21 août, à proximité du parc provincial Bear Creek situé au nord de West Kelowna. Le District régional du Centre de l’Okanagan a ordonné l’évacuation de 156 maisons (environ 468 personnes). De plus, les campeurs du parc provincial Bear Creek ont aussi été évacués. Les équipes de pompiers ont rapidement maîtrisé l’incendie, qui s’étendait sur 52 hectares. Le 22 août, il était contenu à 60 %. Le 22 aout, les ordres d’évacuation ont été annulés pour 51 maisons et les campeurs ont été autorisés à retourner temporairement à leurs campements pour retirer leurs effets personnels, leurs véhicules et leurs remorques. Le 25 janvier, l’incendie irréprimé a été totalement contenu.			468	0.0000	0.0	25/08/2016 12:00:00 AM										
