location_text,Latitude,Longitude
"Abbotsford, BC",49.060,122.300
"Acton, ON",43.630,80.030
"Airdrie, AB",51.300,114.020
"Aldergrove, BC",49.060,122.500
"Alliston, ON",44.150,79.870
"Alma, QC",48.550,71.660
"Amherst, NS",45.830,64.210
"Amherstburg, ON",42.100,83.100
"Amos, QC",48.570,78.140
"Angus, ON",44.320,79.880
"Arnprior, ON",45.430,76.370
"Asbestos, QC",45.780,71.950
"Aylmer, ON",42.780,80.980
"Baie-Comeau, QC",49.220,68.160
"Banff, AB",51.170,115.570
"Barrie, ON",44.380,79.680
"Bathurst, NB",47.620,65.650
"Bay Roberts, NL",47.590,53.290
"Beamsville, ON",43.170,79.470
"Beaumont, AB",53.350,113.420
"Belleville, ON",44.170,77.380
"Beloeil, QC",45.550,73.230
"Bolton, ON",43.880,79.730
"Bonnyville, AB",54.270,110.750
"Bowmanville, ON",43.900,78.680
"Bracebridge, ON",45.030,79.300
"Bradford, ON",44.120,79.560
"Brandon, MB",49.840,99.960
"Brantford, ON",43.150,80.260
"Bridgewater, NS",44.380,64.520
"Brockville, ON",44.610,75.700
"Brooklin, ON",43.950,78.960
"Brooks, AB",50.570,111.910
"Buckingham, QC",45.580,75.420
"Caledonia, ON",43.070,79.950
"Calgary, AB",51.050,114.060
"Campbell River, BC",49.990,125.230
"Campbellton, NB",48.000,66.680
"Camrose, AB",53.020,112.840
"Canmore, AB",51.090,115.350
"Carbonear, NL",47.750,53.240
"Carleton Place, ON",45.130,76.130
"Castlegar, BC",49.320,117.670
"Okanagan Falls, BC",50.030,119.870
"Charlottetown, PE",46.240,63.140
"Chatham, ON",42.410,82.190
"Douglastown, ON",47.030,65.460
"Chibougamau, QC",49.870,74.350
"Chicoutimi, QC",48.430,71.080
"Chilliwack, BC",49.170,121.960
"Coaldale, AB",49.730,112.620
"Coaticook, QC",45.130,71.800
"Cobourg, ON",43.960,78.170
"Cochrane, AB",51.190,114.470
"Collingwood, ON",44.490,80.210
"Conception Bay South, NL",47.500,53.000
"Corner Brook, NL",48.960,57.960
"Cornwall, ON",45.030,74.740
"Courtenay, BC",49.690,125.000
"Cowansville, QC",45.210,72.750
"Cranbrook, BC",49.510,115.770
"Crystal Beach, ON",45.050,79.400
"Dauphin, MB",51.150,100.050
"Dawson Creek, BC",55.760,120.240
"Dolbeau-Mistassini, QC",48.870,72.230
"Donnacona, QC",46.670,71.730
"Drayton Valley, AB",53.220,114.980
"Drumheller, AB",51.470,112.710
"Drummondville, QC",45.890,72.490
"Dryden, ON",49.780,92.830
"Duck Lake, SK",49.230,116.630
"Duncan, BC",48.780,123.700
"Dunnville, ON",42.910,79.620
"Edmonton, AB",53.570,113.540
"Edmundston, NB",47.380,68.340
"Edson, AB",53.580,116.420
"Elliot Lake, ON",46.390,82.660
"Elmira, ON",43.600,80.550
"Essex, ON",42.170,82.820
"Estevan, SK",49.140,103.010
"Farnham, QC",45.280,72.970
"Fergus, ON",43.700,80.370
"Flin Flon, MB",54.770,101.890
"Fort Erie, ON",42.910,78.930
"Fort Frances, ON",48.620,93.420
"Fort St. John, BC",56.250,120.850
"Fredericton, NB",45.960,66.660
"Gananoque, ON",44.330,76.170
"Gander, NL",48.950,54.650
"Gatineau, QC",45.420,75.710
"Georgetown, ON",43.660,79.930
"Georgina, ON",44.270,79.250
"Gibsons, BC",49.400,123.500
"Glace Bay, NS",46.200,59.970
"Goderich, ON",43.730,81.700
" Granby, QC",45.410,72.730
"Grand Centre, AB",54.420,110.220
"Grand Falls, NB",47.050,67.730
"Grand Falls-Windsor, NL",48.930,55.660
"Grande Prairie, AB",55.180,118.800
"Gravenhurst, ON",44.920,79.370
"Guelph, ON",43.560,80.260
"Haileybury, ON",47.430,79.630
"Halifax, NS",44.670,63.610
"Hamilton, ON",43.260,79.850
"Hanover, ON",44.150,81.030
"Happy Valley-Goose Bay, NL",53.340,60.400
"Hauterive, QC",49.180,68.270
"Hawkesbury, ON",45.620,74.600
"High River, AB",50.580,113.870
"Hinton, AB",53.400,117.580
"Huntsville, ON",45.320,79.220
"Ingersoll, ON",43.030,80.880
"Innisfil, ON",44.260,79.640
"Iqaluit, NU",63.740,68.550
"Joliette, QC",46.030,73.450
"Kamloops, BC",50.680,120.340
"Kanata, ON",45.340,75.880
"Kapuskasing, ON",49.430,82.420
"Kelowna, BC",49.890,119.460
"Kenora, ON",49.780,94.490
